id,date,time,datetime,provice,city
36,2022-12-01,07:32,2022-12-01 07:32,山东,临沂市
37,2022-12-01,12:40,2022-12-01 12:40,浙江,金华市
38,2022-12-01,20:43,2022-12-01 20:43,上海,上海市
39,2022-12-01,15:28,2022-12-01 15:28,深圳,深圳
40,2022-12-01,08:45,2022-12-01 08:45,上海,上海市
41,2022-12-01,05:55,2022-12-01 05:55,北京,北京市
42,2022-12-01,07:20,2022-12-01 07:20,上海,上海市
43,2022-12-01,10:06,2022-12-01 10:06,上海,上海市
44,2022-12-01,11:00,2022-12-01 11:00,浙江,温州市
45,2022-12-01,14:20,2022-12-01 14:20,深圳,深圳
1,2022-12-02,19:10,2022-12-02 19:10,江苏,镇江市
2,2022-12-02,20:19,2022-12-02 20:19,上海,上海市
3,2022-12-02,22:12,2022-12-02 22:12,江苏,盐城市
4,2022-12-02,13:36,2022-12-02 13:36,江苏,徐州市
5,2022-12-02,14:11,2022-12-02 14:11,江苏,徐州市
6,2022-12-02,17:49,2022-12-02 17:49,江苏,南京市
7,2022-12-02,10:47,2022-12-02 10:47,深圳,深圳
8,2022-12-02,09:57,2022-12-02 09:57,浙江,绍兴市
9,2022-12-02,16:37,2022-12-02 16:37,江苏,镇江市
10,2022-12-02,14:06,2022-12-02 14:06,浙江,温州市
11,2022-12-02,08:18,2022-12-02 08:18,浙江,台州市
12,2022-12-02,20:08,2022-12-02 20:08,上海,上海市
13,2022-12-02,11:11,2022-12-02 11:11,上海,上海市
14,2022-12-02,19:13,2022-12-02 19:13,江苏,常州市
15,2022-12-02,02:27,2022-12-02 02:27,北京,北京市
16,2022-12-02,09:57,2022-12-02 09:57,深圳,深圳
17,2022-12-02,14:50,2022-12-02 14:50,浙江,杭州市
18,2022-12-02,13:27,2022-12-02 13:27,上海,上海市
19,2022-12-02,21:39,2022-12-02 21:39,广州,广州
20,2022-12-02,11:51,2022-12-02 11:51,江苏,南通市
21,2022-12-02,15:59,2022-12-02 15:59,浙江,杭州市
22,2022-12-02,22:22,2022-12-02 22:22,浙江,湖州市
23,2022-12-02,14:48,2022-12-02 14:48,北京,北京市
24,2022-12-02,20:31,2022-12-02 20:31,浙江,温州市
25,2022-12-02,14:46,2022-12-02 14:46,江苏,徐州市
26,2022-12-02,10:56,2022-12-02 10:56,上海,上海市
27,2022-12-02,04:07,2022-12-02 04:07,江苏,常州市
28,2022-12-02,23:22,2022-12-02 23:22,北京,北京市
29,2022-12-02,11:36,2022-12-02 11:36,上海,上海市
30,2022-12-02,23:26,2022-12-02 23:26,广州,广州
31,2022-12-02,13:53,2022-12-02 13:53,北京,北京市
32,2022-12-02,06:37,2022-12-02 06:37,浙江,金华市
33,2022-12-02,13:49,2022-12-02 13:49,浙江,宁波市
34,2022-12-02,12:47,2022-12-02 12:47,北京,北京市
35,2022-12-02,14:01,2022-12-02 14:01,广州,广州
36,2022-12-02,20:14,2022-12-02 20:14,上海,上海市
37,2022-12-02,11:02,2022-12-02 11:02,江苏,常州市
38,2022-12-02,15:04,2022-12-02 15:04,广州,广州
39,2022-12-02,15:27,2022-12-02 15:27,浙江,温州市
40,2022-12-02,09:41,2022-12-02 09:41,山东,济宁市
41,2022-12-02,08:12,2022-12-02 08:12,上海,上海市
2,2022-12-03,23:33,2022-12-03 23:33,北京,北京市
3,2022-12-03,23:09,2022-12-03 23:09,上海,上海市
4,2022-12-03,11:54,2022-12-03 11:54,江苏,宿迁市
5,2022-12-03,17:27,2022-12-03 17:27,浙江,衢州市
6,2022-12-03,09:06,2022-12-03 09:06,广州,广州
7,2022-12-03,15:05,2022-12-03 15:05,江苏,泰州市
8,2022-12-03,10:27,2022-12-03 10:27,深圳,深圳
9,2022-12-03,00:27,2022-12-03 00:27,浙江,宁波市
10,2022-12-03,13:59,2022-12-03 13:59,广州,广州
11,2022-12-03,18:46,2022-12-03 18:46,上海,上海市
12,2022-12-03,04:11,2022-12-03 04:11,深圳,深圳
13,2022-12-03,19:26,2022-12-03 19:26,深圳,深圳
14,2022-12-03,22:49,2022-12-03 22:49,广州,广州
15,2022-12-03,08:58,2022-12-03 08:58,江苏,淮安市(原淮阴市）
16,2022-12-03,09:03,2022-12-03 09:03,上海,上海市
17,2022-12-03,04:44,2022-12-03 04:44,广州,广州
18,2022-12-03,22:01,2022-12-03 22:01,山东,潍坊市
19,2022-12-03,21:47,2022-12-03 21:47,北京,北京市
20,2022-12-03,11:57,2022-12-03 11:57,江苏,扬州市
21,2022-12-03,22:31,2022-12-03 22:31,北京,北京市
22,2022-12-03,22:32,2022-12-03 22:32,广州,广州
23,2022-12-03,09:11,2022-12-03 09:11,深圳,深圳
24,2022-12-03,09:37,2022-12-03 09:37,江苏,苏州市
25,2022-12-03,10:26,2022-12-03 10:26,广州,广州
26,2022-12-03,07:34,2022-12-03 07:34,北京,北京市
27,2022-12-03,15:10,2022-12-03 15:10,江苏,常州市
28,2022-12-03,19:40,2022-12-03 19:40,上海,上海市
29,2022-12-03,20:13,2022-12-03 20:13,上海,上海市
30,2022-12-03,15:53,2022-12-03 15:53,江苏,无锡市
31,2022-12-03,09:49,2022-12-03 09:49,上海,上海市
32,2022-12-03,10:35,2022-12-03 10:35,上海,上海市
33,2022-12-03,09:57,2022-12-03 09:57,上海,上海市
34,2022-12-03,21:50,2022-12-03 21:50,深圳,深圳
35,2022-12-03,22:05,2022-12-03 22:05,江苏,扬州市
36,2022-12-03,21:33,2022-12-03 21:33,浙江,丽水市
37,2022-12-03,07:35,2022-12-03 07:35,北京,北京市
38,2022-12-03,02:13,2022-12-03 02:13,上海,上海市
39,2022-12-03,20:19,2022-12-03 20:19,浙江,杭州市
40,2022-12-03,11:29,2022-12-03 11:29,深圳,深圳
41,2022-12-03,22:47,2022-12-03 22:47,山东,威海市
42,2022-12-03,08:15,2022-12-03 08:15,浙江,嘉兴市
43,2022-12-03,23:23,2022-12-03 23:23,深圳,深圳
44,2022-12-03,09:13,2022-12-03 09:13,江苏,徐州市
45,2022-12-03,23:05,2022-12-03 23:05,上海,上海市
46,2022-12-03,08:48,2022-12-03 08:48,江苏,泰州市
47,2022-12-03,22:26,2022-12-03 22:26,江苏,无锡市
48,2022-12-03,20:21,2022-12-03 20:21,江苏,南通市
49,2022-12-03,22:34,2022-12-03 22:34,浙江,衢州市
50,2022-12-03,02:51,2022-12-03 02:51,上海,上海市
51,2022-12-03,14:08,2022-12-03 14:08,浙江,杭州市
52,2022-12-03,11:30,2022-12-03 11:30,浙江,温州市
53,2022-12-03,22:25,2022-12-03 22:25,深圳,深圳
54,2022-12-03,11:04,2022-12-03 11:04,山东,泰安市
55,2022-12-03,22:33,2022-12-03 22:33,江苏,常州市
56,2022-12-03,19:30,2022-12-03 19:30,浙江,温州市
57,2022-12-03,21:22,2022-12-03 21:22,浙江,丽水市
58,2022-12-03,15:03,2022-12-03 15:03,浙江,丽水市
59,2022-12-03,23:29,2022-12-03 23:29,浙江,绍兴市
60,2022-12-03,09:21,2022-12-03 09:21,山东,烟台市
61,2022-12-03,11:14,2022-12-03 11:14,上海,上海市
62,2022-12-03,20:49,2022-12-03 20:49,江苏,无锡市
63,2022-12-03,11:25,2022-12-03 11:25,深圳,深圳
64,2022-12-03,15:53,2022-12-03 15:53,广州,广州
65,2022-12-03,21:08,2022-12-03 21:08,深圳,深圳
66,2022-12-03,23:28,2022-12-03 23:28,浙江,宁波市
67,2022-12-03,09:04,2022-12-03 09:04,广州,广州
68,2022-12-03,16:18,2022-12-03 16:18,深圳,深圳
69,2022-12-03,08:02,2022-12-03 08:02,浙江,宁波市
70,2022-12-03,14:56,2022-12-03 14:56,山东,滨州地区
71,2022-12-03,12:00,2022-12-03 12:00,深圳,深圳
72,2022-12-03,13:50,2022-12-03 13:50,江苏,南通市
73,2022-12-03,22:03,2022-12-03 22:03,江苏,徐州市
74,2022-12-03,16:13,2022-12-03 16:13,江苏,扬州市
75,2022-12-03,19:16,2022-12-03 19:16,山东,济宁市
76,2022-12-03,10:41,2022-12-03 10:41,北京,北京市
77,2022-12-03,10:28,2022-12-03 10:28,北京,北京市
78,2022-12-03,08:44,2022-12-03 08:44,浙江,台州市
79,2022-12-03,14:21,2022-12-03 14:21,上海,上海市
80,2022-12-03,09:17,2022-12-03 09:17,江苏,扬州市
81,2022-12-03,10:38,2022-12-03 10:38,江苏,南通市
82,2022-12-03,21:54,2022-12-03 21:54,浙江,杭州市
3,2022-12-04,22:19,2022-12-04 22:19,上海,上海市
4,2022-12-04,16:09,2022-12-04 16:09,江苏,徐州市
5,2022-12-04,11:50,2022-12-04 11:50,上海,上海市
6,2022-12-04,09:32,2022-12-04 09:32,浙江,台州市
7,2022-12-04,02:57,2022-12-04 02:57,浙江,杭州市
8,2022-12-04,22:10,2022-12-04 22:10,江苏,常州市
9,2022-12-04,11:16,2022-12-04 11:16,上海,上海市
10,2022-12-04,09:37,2022-12-04 09:37,浙江,杭州市
11,2022-12-04,13:22,2022-12-04 13:22,广州,广州
12,2022-12-04,01:36,2022-12-04 01:36,浙江,温州市
13,2022-12-04,10:24,2022-12-04 10:24,上海,上海市
14,2022-12-04,11:20,2022-12-04 11:20,浙江,杭州市
15,2022-12-04,21:33,2022-12-04 21:33,广州,广州
16,2022-12-04,13:47,2022-12-04 13:47,浙江,湖州市
17,2022-12-04,21:59,2022-12-04 21:59,江苏,常州市
18,2022-12-04,21:06,2022-12-04 21:06,北京,北京市
19,2022-12-04,21:49,2022-12-04 21:49,浙江,金华市
20,2022-12-04,09:34,2022-12-04 09:34,上海,上海市
21,2022-12-04,06:57,2022-12-04 06:57,广州,广州
22,2022-12-04,22:22,2022-12-04 22:22,江苏,徐州市
23,2022-12-04,17:15,2022-12-04 17:15,江苏,无锡市
24,2022-12-04,22:54,2022-12-04 22:54,北京,北京市
25,2022-12-04,22:33,2022-12-04 22:33,上海,上海市
26,2022-12-04,12:12,2022-12-04 12:12,北京,北京市
27,2022-12-04,06:03,2022-12-04 06:03,江苏,南京市
28,2022-12-04,08:37,2022-12-04 08:37,浙江,嘉兴市
29,2022-12-04,20:44,2022-12-04 20:44,上海,上海市
30,2022-12-04,13:14,2022-12-04 13:14,浙江,杭州市
31,2022-12-04,09:38,2022-12-04 09:38,北京,北京市
32,2022-12-04,12:54,2022-12-04 12:54,浙江,丽水市
33,2022-12-04,13:21,2022-12-04 13:21,江苏,徐州市
34,2022-12-04,01:09,2022-12-04 01:09,浙江,温州市
35,2022-12-04,23:27,2022-12-04 23:27,深圳,深圳
36,2022-12-04,16:55,2022-12-04 16:55,上海,上海市
37,2022-12-04,10:52,2022-12-04 10:52,江苏,常州市
38,2022-12-04,13:10,2022-12-04 13:10,江苏,南京市
39,2022-12-04,09:57,2022-12-04 09:57,上海,上海市
40,2022-12-04,16:59,2022-12-04 16:59,广州,广州
41,2022-12-04,08:49,2022-12-04 08:49,浙江,嘉兴市
42,2022-12-04,00:22,2022-12-04 00:22,江苏,常州市
43,2022-12-04,21:33,2022-12-04 21:33,江苏,扬州市
44,2022-12-04,19:04,2022-12-04 19:04,浙江,温州市
45,2022-12-04,06:54,2022-12-04 06:54,北京,北京市
46,2022-12-04,20:15,2022-12-04 20:15,江苏,盐城市
47,2022-12-04,23:43,2022-12-04 23:43,山东,淄博市
48,2022-12-04,14:12,2022-12-04 14:12,上海,上海市
49,2022-12-04,11:00,2022-12-04 11:00,北京,北京市
50,2022-12-04,10:36,2022-12-04 10:36,北京,北京市
51,2022-12-04,10:12,2022-12-04 10:12,上海,上海市
52,2022-12-04,22:40,2022-12-04 22:40,江苏,盐城市
53,2022-12-04,20:06,2022-12-04 20:06,上海,上海市
54,2022-12-04,11:47,2022-12-04 11:47,浙江,杭州市
55,2022-12-04,10:44,2022-12-04 10:44,北京,北京市
56,2022-12-04,07:53,2022-12-04 07:53,浙江,杭州市
57,2022-12-04,22:46,2022-12-04 22:46,浙江,台州市
58,2022-12-04,16:44,2022-12-04 16:44,浙江,金华市
59,2022-12-04,10:42,2022-12-04 10:42,江苏,南通市
60,2022-12-04,21:02,2022-12-04 21:02,上海,上海市
61,2022-12-04,10:40,2022-12-04 10:40,浙江,台州市
62,2022-12-04,10:34,2022-12-04 10:34,江苏,盐城市
63,2022-12-04,22:47,2022-12-04 22:47,江苏,盐城市
64,2022-12-04,09:48,2022-12-04 09:48,深圳,深圳
65,2022-12-04,13:06,2022-12-04 13:06,江苏,常州市
66,2022-12-04,22:14,2022-12-04 22:14,浙江,嘉兴市
67,2022-12-04,23:01,2022-12-04 23:01,江苏,常州市
68,2022-12-04,08:17,2022-12-04 08:17,深圳,深圳
69,2022-12-04,13:06,2022-12-04 13:06,上海,上海市
70,2022-12-04,08:27,2022-12-04 08:27,浙江,金华市
71,2022-12-04,22:23,2022-12-04 22:23,深圳,深圳
72,2022-12-04,19:48,2022-12-04 19:48,广州,广州
73,2022-12-04,14:34,2022-12-04 14:34,浙江,舟山市
74,2022-12-04,23:50,2022-12-04 23:50,江苏,徐州市
75,2022-12-04,13:24,2022-12-04 13:24,广州,广州
76,2022-12-04,13:04,2022-12-04 13:04,江苏,徐州市
77,2022-12-04,16:19,2022-12-04 16:19,上海,上海市
78,2022-12-04,21:00,2022-12-04 21:00,江苏,南京市
79,2022-12-04,20:03,2022-12-04 20:03,江苏,连云港市
80,2022-12-04,19:50,2022-12-04 19:50,浙江,金华市
81,2022-12-04,22:55,2022-12-04 22:55,江苏,泰州市
82,2022-12-04,21:52,2022-12-04 21:52,江苏,宿迁市
83,2022-12-04,01:48,2022-12-04 01:48,上海,上海市
84,2022-12-04,00:42,2022-12-04 00:42,江苏,盐城市
85,2022-12-04,19:37,2022-12-04 19:37,深圳,深圳
86,2022-12-04,19:55,2022-12-04 19:55,江苏,南通市
87,2022-12-04,15:51,2022-12-04 15:51,浙江,衢州市
88,2022-12-04,22:06,2022-12-04 22:06,北京,北京市
89,2022-12-04,04:49,2022-12-04 04:49,江苏,无锡市
90,2022-12-04,07:48,2022-12-04 07:48,广州,广州
91,2022-12-04,20:56,2022-12-04 20:56,江苏,连云港市
92,2022-12-04,09:23,2022-12-04 09:23,江苏,宿迁市
93,2022-12-04,23:16,2022-12-04 23:16,上海,上海市
94,2022-12-04,21:44,2022-12-04 21:44,江苏,苏州市
95,2022-12-04,02:35,2022-12-04 02:35,上海,上海市
96,2022-12-04,20:15,2022-12-04 20:15,浙江,温州市
97,2022-12-04,18:40,2022-12-04 18:40,上海,上海市
98,2022-12-04,23:49,2022-12-04 23:49,浙江,台州市
99,2022-12-04,07:22,2022-12-04 07:22,浙江,温州市
100,2022-12-04,22:28,2022-12-04 22:28,江苏,南京市
101,2022-12-04,22:17,2022-12-04 22:17,山东,东营市
102,2022-12-04,18:33,2022-12-04 18:33,北京,北京市
103,2022-12-04,09:43,2022-12-04 09:43,广州,广州
104,2022-12-04,21:31,2022-12-04 21:31,山东,枣庄市
105,2022-12-04,22:13,2022-12-04 22:13,上海,上海市
106,2022-12-04,09:44,2022-12-04 09:44,山东,济宁市
107,2022-12-04,15:20,2022-12-04 15:20,浙江,宁波市
108,2022-12-04,11:19,2022-12-04 11:19,广州,广州
109,2022-12-04,11:28,2022-12-04 11:28,北京,北京市
110,2022-12-04,00:01,2022-12-04 00:01,上海,上海市
111,2022-12-04,03:42,2022-12-04 03:42,浙江,金华市
112,2022-12-04,08:51,2022-12-04 08:51,深圳,深圳
113,2022-12-04,21:21,2022-12-04 21:21,上海,上海市
114,2022-12-04,10:02,2022-12-04 10:02,上海,上海市
115,2022-12-04,09:58,2022-12-04 09:58,北京,北京市
116,2022-12-04,07:11,2022-12-04 07:11,江苏,徐州市
117,2022-12-04,09:06,2022-12-04 09:06,江苏,徐州市
118,2022-12-04,22:27,2022-12-04 22:27,上海,上海市
119,2022-12-04,23:31,2022-12-04 23:31,深圳,深圳
120,2022-12-04,11:51,2022-12-04 11:51,江苏,扬州市
4,2022-12-05,08:34,2022-12-05 08:34,浙江,丽水市
5,2022-12-05,09:00,2022-12-05 09:00,上海,上海市
6,2022-12-05,10:25,2022-12-05 10:25,江苏,镇江市
7,2022-12-05,10:50,2022-12-05 10:50,深圳,深圳
8,2022-12-05,21:55,2022-12-05 21:55,山东,烟台市
9,2022-12-05,21:00,2022-12-05 21:00,上海,上海市
10,2022-12-05,23:41,2022-12-05 23:41,江苏,徐州市
11,2022-12-05,21:22,2022-12-05 21:22,山东,聊城市
12,2022-12-05,09:18,2022-12-05 09:18,广州,广州
13,2022-12-05,20:17,2022-12-05 20:17,深圳,深圳
14,2022-12-05,22:05,2022-12-05 22:05,上海,上海市
15,2022-12-05,10:52,2022-12-05 10:52,江苏,连云港市
16,2022-12-05,21:32,2022-12-05 21:32,浙江,丽水市
17,2022-12-05,14:46,2022-12-05 14:46,江苏,南京市
18,2022-12-05,13:02,2022-12-05 13:02,江苏,连云港市
19,2022-12-05,09:59,2022-12-05 09:59,江苏,常州市
20,2022-12-05,11:58,2022-12-05 11:58,北京,北京市
21,2022-12-05,08:09,2022-12-05 08:09,浙江,丽水市
22,2022-12-05,20:31,2022-12-05 20:31,浙江,嘉兴市
23,2022-12-05,09:35,2022-12-05 09:35,深圳,深圳
24,2022-12-05,11:15,2022-12-05 11:15,上海,上海市
25,2022-12-05,21:25,2022-12-05 21:25,上海,上海市
26,2022-12-05,10:50,2022-12-05 10:50,浙江,杭州市
27,2022-12-05,20:08,2022-12-05 20:08,深圳,深圳
28,2022-12-05,22:19,2022-12-05 22:19,江苏,宿迁市
29,2022-12-05,10:28,2022-12-05 10:28,山东,枣庄市
30,2022-12-05,23:28,2022-12-05 23:28,江苏,宿迁市
31,2022-12-05,19:09,2022-12-05 19:09,浙江,舟山市
32,2022-12-05,22:06,2022-12-05 22:06,浙江,温州市
33,2022-12-05,23:34,2022-12-05 23:34,浙江,绍兴市
34,2022-12-05,17:57,2022-12-05 17:57,浙江,丽水市
35,2022-12-05,08:46,2022-12-05 08:46,上海,上海市
36,2022-12-05,20:49,2022-12-05 20:49,深圳,深圳
37,2022-12-05,10:23,2022-12-05 10:23,上海,上海市
38,2022-12-05,09:55,2022-12-05 09:55,深圳,深圳
39,2022-12-05,21:44,2022-12-05 21:44,江苏,扬州市
40,2022-12-05,07:56,2022-12-05 07:56,广州,广州
41,2022-12-05,12:10,2022-12-05 12:10,深圳,深圳
42,2022-12-05,09:23,2022-12-05 09:23,深圳,深圳
43,2022-12-05,01:11,2022-12-05 01:11,北京,北京市
44,2022-12-05,10:14,2022-12-05 10:14,江苏,无锡市
45,2022-12-05,11:02,2022-12-05 11:02,深圳,深圳
46,2022-12-05,14:52,2022-12-05 14:52,江苏,南通市
47,2022-12-05,09:57,2022-12-05 09:57,江苏,徐州市
48,2022-12-05,10:35,2022-12-05 10:35,浙江,杭州市
49,2022-12-05,20:23,2022-12-05 20:23,深圳,深圳
50,2022-12-05,23:27,2022-12-05 23:27,江苏,南京市
51,2022-12-05,10:06,2022-12-05 10:06,上海,上海市
52,2022-12-05,12:53,2022-12-05 12:53,江苏,无锡市
53,2022-12-05,20:43,2022-12-05 20:43,浙江,宁波市
54,2022-12-05,10:12,2022-12-05 10:12,江苏,无锡市
55,2022-12-05,10:58,2022-12-05 10:58,广州,广州
56,2022-12-05,19:06,2022-12-05 19:06,上海,上海市
57,2022-12-05,09:56,2022-12-05 09:56,深圳,深圳
58,2022-12-05,22:14,2022-12-05 22:14,上海,上海市
59,2022-12-05,15:52,2022-12-05 15:52,北京,北京市
60,2022-12-05,13:59,2022-12-05 13:59,江苏,无锡市
61,2022-12-05,09:28,2022-12-05 09:28,上海,上海市
62,2022-12-05,23:06,2022-12-05 23:06,江苏,镇江市
63,2022-12-05,20:09,2022-12-05 20:09,浙江,嘉兴市
64,2022-12-05,20:03,2022-12-05 20:03,广州,广州
65,2022-12-05,17:26,2022-12-05 17:26,江苏,镇江市
66,2022-12-05,11:56,2022-12-05 11:56,上海,上海市
67,2022-12-05,22:43,2022-12-05 22:43,浙江,杭州市
68,2022-12-05,22:55,2022-12-05 22:55,北京,北京市
69,2022-12-05,20:13,2022-12-05 20:13,江苏,南通市
70,2022-12-05,19:31,2022-12-05 19:31,江苏,南通市
71,2022-12-05,21:24,2022-12-05 21:24,江苏,苏州市
72,2022-12-05,15:41,2022-12-05 15:41,浙江,温州市
73,2022-12-05,15:04,2022-12-05 15:04,上海,上海市
74,2022-12-05,21:14,2022-12-05 21:14,广州,广州
75,2022-12-05,13:43,2022-12-05 13:43,山东,济宁市
76,2022-12-05,19:19,2022-12-05 19:19,江苏,镇江市
77,2022-12-05,13:09,2022-12-05 13:09,北京,北京市
78,2022-12-05,08:53,2022-12-05 08:53,广州,广州
79,2022-12-05,21:14,2022-12-05 21:14,江苏,盐城市
80,2022-12-05,23:05,2022-12-05 23:05,江苏,宿迁市
81,2022-12-05,12:34,2022-12-05 12:34,江苏,无锡市
82,2022-12-05,07:11,2022-12-05 07:11,江苏,淮安市(原淮阴市）
83,2022-12-05,16:44,2022-12-05 16:44,深圳,深圳
84,2022-12-05,23:58,2022-12-05 23:58,浙江,台州市
85,2022-12-05,13:55,2022-12-05 13:55,上海,上海市
86,2022-12-05,11:47,2022-12-05 11:47,浙江,杭州市
87,2022-12-05,21:00,2022-12-05 21:00,江苏,连云港市
88,2022-12-05,10:26,2022-12-05 10:26,浙江,杭州市
89,2022-12-05,09:47,2022-12-05 09:47,深圳,深圳
90,2022-12-05,02:42,2022-12-05 02:42,深圳,深圳
91,2022-12-05,21:11,2022-12-05 21:11,江苏,徐州市
92,2022-12-05,11:52,2022-12-05 11:52,上海,上海市
93,2022-12-05,15:36,2022-12-05 15:36,北京,北京市
94,2022-12-05,02:42,2022-12-05 02:42,浙江,杭州市
95,2022-12-05,19:24,2022-12-05 19:24,江苏,常州市
96,2022-12-05,16:16,2022-12-05 16:16,上海,上海市
97,2022-12-05,20:39,2022-12-05 20:39,江苏,徐州市
98,2022-12-05,14:01,2022-12-05 14:01,上海,上海市
99,2022-12-05,22:10,2022-12-05 22:10,北京,北京市
100,2022-12-05,22:41,2022-12-05 22:41,山东,烟台市
101,2022-12-05,08:03,2022-12-05 08:03,深圳,深圳
102,2022-12-05,10:55,2022-12-05 10:55,上海,上海市
103,2022-12-05,20:26,2022-12-05 20:26,上海,上海市
104,2022-12-05,10:00,2022-12-05 10:00,上海,上海市
105,2022-12-05,08:52,2022-12-05 08:52,江苏,常州市
106,2022-12-05,16:23,2022-12-05 16:23,深圳,深圳
107,2022-12-05,22:22,2022-12-05 22:22,江苏,镇江市
108,2022-12-05,08:09,2022-12-05 08:09,广州,广州
109,2022-12-05,22:30,2022-12-05 22:30,浙江,温州市
110,2022-12-05,07:08,2022-12-05 07:08,深圳,深圳
111,2022-12-05,11:04,2022-12-05 11:04,上海,上海市
112,2022-12-05,21:54,2022-12-05 21:54,浙江,杭州市
113,2022-12-05,08:29,2022-12-05 08:29,浙江,温州市
114,2022-12-05,07:10,2022-12-05 07:10,江苏,盐城市
115,2022-12-05,22:03,2022-12-05 22:03,浙江,湖州市
116,2022-12-05,01:16,2022-12-05 01:16,广州,广州
117,2022-12-05,11:34,2022-12-05 11:34,深圳,深圳
118,2022-12-05,17:40,2022-12-05 17:40,浙江,金华市
119,2022-12-05,11:52,2022-12-05 11:52,江苏,苏州市
120,2022-12-05,10:27,2022-12-05 10:27,江苏,苏州市
121,2022-12-05,08:30,2022-12-05 08:30,广州,广州
122,2022-12-05,13:43,2022-12-05 13:43,江苏,南京市
123,2022-12-05,10:50,2022-12-05 10:50,北京,北京市
124,2022-12-05,11:28,2022-12-05 11:28,江苏,扬州市
125,2022-12-05,06:57,2022-12-05 06:57,浙江,温州市
126,2022-12-05,11:40,2022-12-05 11:40,浙江,丽水市
127,2022-12-05,15:06,2022-12-05 15:06,江苏,宿迁市
128,2022-12-05,20:21,2022-12-05 20:21,江苏,淮安市(原淮阴市）
129,2022-12-05,13:58,2022-12-05 13:58,浙江,湖州市
130,2022-12-05,23:41,2022-12-05 23:41,上海,上海市
131,2022-12-05,09:52,2022-12-05 09:52,广州,广州
132,2022-12-05,22:46,2022-12-05 22:46,广州,广州
133,2022-12-05,22:44,2022-12-05 22:44,上海,上海市
134,2022-12-05,22:37,2022-12-05 22:37,江苏,南京市
135,2022-12-05,21:57,2022-12-05 21:57,江苏,淮安市(原淮阴市）
136,2022-12-05,13:48,2022-12-05 13:48,上海,上海市
137,2022-12-05,11:23,2022-12-05 11:23,广州,广州
138,2022-12-05,21:33,2022-12-05 21:33,江苏,泰州市
139,2022-12-05,17:23,2022-12-05 17:23,山东,烟台市
140,2022-12-05,10:36,2022-12-05 10:36,山东,烟台市
141,2022-12-05,10:34,2022-12-05 10:34,上海,上海市
142,2022-12-05,00:27,2022-12-05 00:27,江苏,镇江市
143,2022-12-05,14:15,2022-12-05 14:15,上海,上海市
144,2022-12-05,23:02,2022-12-05 23:02,浙江,金华市
145,2022-12-05,22:09,2022-12-05 22:09,江苏,盐城市
146,2022-12-05,22:23,2022-12-05 22:23,浙江,台州市
147,2022-12-05,21:26,2022-12-05 21:26,深圳,深圳
148,2022-12-05,23:38,2022-12-05 23:38,上海,上海市
149,2022-12-05,16:14,2022-12-05 16:14,浙江,温州市
150,2022-12-05,01:08,2022-12-05 01:08,北京,北京市
151,2022-12-05,19:51,2022-12-05 19:51,山东,泰安市
152,2022-12-05,17:22,2022-12-05 17:22,浙江,台州市
153,2022-12-05,21:19,2022-12-05 21:19,江苏,徐州市
